Level,Date and Time,Source,Event ID,Task Category
Information,04-29-2026 14:05:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:05:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:05:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:05:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:05:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:05:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:05:00,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:05:00,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Error,04-29-2026 14:04:38,Microsoft-Windows-DistributedCOM,10010,None,The server {CFCDE54C-C83E-449D-8A40-EFFE043FC227} did not register with DCOM within the required timeout.
Information,04-29-2026 14:04:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:25,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:25,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:10,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:04:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:04:05,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:55,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:50,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:50,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:45,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:40,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:35,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,04-29-2026 14:03:30,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,04-29-2026 14:03:20,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
